"","rulename","ruledesign"
"999","WMS - Drainage (prf)","limitation"
"1000","PITN2: Basic rating w frags","suitability"
"1001","PITN2: final rating","suitability"
"1002","PITN: fourth filter-flooddur-final rating","suitability"
"1003","PITN2: site-4-slope-final","suitability"
"1004","BLM - Pygmy Rabbit Habitat Potential","suitability"
"1005","BLM - Rangeland Drill","suitability"
"1006","WLF - Grain & Seed Crops for Food and Cover (IN)","limitation"
"1007","WLF - Domestic Grasses & Legumes for Food and Cover (IN)","limitation"
"1008","WLF - Upland Wild Herbaceous Plants (IN)","limitation"
"1009","WLF - Upland Deciduous Trees (IN)","limitation"
"1010","WLF - Freshwater Wetland Plants (IN)","limitation"
"1011","AGR - Wind Erosion Potential (TX)orig rule","limitation"
"1012","MA-SWR Infiltration Systems","limitation"
"1013","MA-SWR Detention Basin","limitation"
"1014","NCCPI - OBSOLETE National Commodity Crop Productivity Index","suitability"
"1015","WLF - Wetland Habitat (IN)","limitation"
"1016","WLF - Woodland Habitat (IN)","limitation"
"1017","WLF - Openland Habitat (IN)","limitation"
"1018","MA-SWR Retention Basin","limitation"
"1019","MA-SWR Constructed Wetland","limitation"
"1020","FOR - Picnic area","limitation"
"1021","ENG - Steel Corrosion (DRAFT - Testing only) w/texture class","limitation"
"1022","AGR - Ridge Till (TX)","suitability"
"1023","AGR - Mulch Till (TX)","suitability"
"1024","AGR - Conventional Tillage (TX)","suitability"
"1025","AWM - Irrigation Disposal of Wastewater (DE)","limitation"
"1026","AWM - Land App of Municipal Sewage Sludge (DE)","limitation"
"1027","AWM - Manure and Food Processing Waste (DE)","limitation"
"1028","AWM - Rapid Infil Disposal of Wastewater (DE)","limitation"
"1029","ENG - Construction Materials; Reclamation (DE)","suitability"
"1030","ENG - Construction Materials; Topsoil (DE)","suitability"
"1031","ENG - Septic Tank Absorption Fields (DE)","limitation"
"1032","FOR - Hand Planting Suitability, MO13 (DE)","limitation"
"1033","FOR - Harvest Equipment Operability (DE)","limitation"
"1034","FOR - Mechanical Planting Suitability, MO13 (DE)","limitation"
"1035","FOR - Mechanical Site Preparation (Deep) (DE)","limitation"
"1036","FOR - Mechanical Site Preparation (Surface) (DE)","limitation"
"1037","BLM - Rangeland Tillage","suitability"
"1038","ENG - Steel Corrosion (DRAFT - Testing only) w/PSD","limitation"
"1039","HSG - Hydrologic Soil Group Generator 2","class"
"1040","BLM - Mechanical Treatment, Rolling Drum","suitability"
"1041","BLM - Mechanical Treatment, Shredder","suitability"
"1042","AGR - Water Erosion Potential (NE)","limitation"
"1043","AGR - Wind Erosion Potential (NE)","limitation"
"1044","MAtest-HSG for Detention (Main)","limitation"
"1045","MAtest-HSG for Detention2","limitation"
"1046","ENG - Leaching Trench and Soil Absorption (OH)","limitation"
"1047","ENG massrechargetest","limitation"
"1048","FOR - Windthrow Hazard NC","limitation"
"1049","ENG - Drip Distribution Above Grade (OH)","limitation"
"1050","AGR - Prime Farmland (TX)","suitability"
"1051","ENG - Drip Distribution at or Below Grade (OH)","limitation"
"1052","AGR - Plant Growth Index PGI with Climate Adj. (TX)","suitability"
"1053","CTP-Fraser Fir Suitability(orig)","limitation"
"1054","FOR - Harvest Equipment Operability (VT)","limitation"
"1055","FOR - Log Landing Suitability (VT)","limitation"
"1056","FOR - Road Suitability (Natural Surface) (VT)","limitation"
"1057","BLM - Site Degradation Susceptibility","limitation"
"1058","BLM - Soil Restoration Potential","suitability"
"1059","BLM - Rangeland Seeding, Colorado Plateau Ecoregion","suitability"
"1060","BLM - Rangeland Seeding, Great Basin Ecoregion","suitability"
"1061","BLM - Fire Damage Susceptibility","limitation"
"1062","BLM - Medusahead Invasion Susceptibility","limitation"
"1063","BLM - Fencing","suitability"
"1064","MO8-NPS URB/REC - Camp Areas","limitation"
"1065","MO8-NPS URB/REC - Picnic Areas","limitation"
"1066","MO8-NPS URB/REC - Paths and Trails","limitation"
"1067","MO8-NPS URB/REC - Off-Road Motorcycle Trails","limitation"
"1068","MO8-NPS FOR - Hand Planting Suitability","limitation"
"1069","MO8-NPS FOR - Mechanical Planting Suitability","limitation"
"1070","MO8-NPS FOR - Soil Rutting Hazard","limitation"
"1071","MO8-NPS FOR - Potential Erosion Hazard (Off-Road/Off-Trail)","limitation"
"1072","MO8-NPS FOR - Potential Erosion Hazard (Road/Trail)","limitation"
"1073","MO8-NPS FOR - Road Suitability (Natural Surface)","limitation"
"1074","MO8-NPS FOR - Mechanical Site Preparation (Surface)","limitation"
"1075","MO8-NPS FOR - Potential Seedling Mortality","limitation"
"1076","AWM - Overland Flow Process Treatment of Wastewater (VT)","limitation"
"1077","NCCPI - CA Modified","class"
"1078","WI-590 Nitrogen leaching to GroundH20","limitation"
"1079","MO8-NPS - WLF Desert Tortoise (NPS) MAX 3 REASONS","limitation"
"1080","WLF - Desert Tortoise (NPS) MAX 3 REASONS","limitation"
"1081","FOR - Potential Fire Damage Hazard AZ","limitation"
"1082","FOR - Potential Seedling Mortality AZ","limitation"
"1083","AWM - Slow Rate Process Treatment of Wastewater (VT)","limitation"
"1084","AWM - Rapid Infiltration Disposal of Wastewater (VT)","limitation"
"1085","AWM - Irrigation Disposal of Wastewater (VT)","limitation"
"1086","NCCPI - National Commodity Crop Productivity Index (Ver 1.0)","suitability"
"1087","ENG - Mound with Pressure Distribution (OH)","limitation"
"1088","AWM - Land Application of Municipal Sewage Sludge (VT)","limitation"
"1089","CTP-Fraser Fir Suitability","limitation"
"1090","AWM - Manure and Food Processing Waste (VT)","limitation"
"1091","FOR - Log Landing Suitability (NY)","limitation"
"1092","FOR - Potential Windthrow Hazard (NY)","limitation"
"1093","FOR - Potential Seedling Mortality (NY)","limitation"
"1094","FOR - Harvest Equipment Operability (NY)","limitation"
"1095","FOR - Construction Limitations for Haul Roads (NY)","limitation"
"1096","FOR - Potential Erosion Hazard (Off-Road/Off-Trail) (NY)","limitation"
"1097","FOR - Soil Rutting Hazard (NY)","limitation"
"1098","FOR - Black Walnut Suitability Index (MO)","suitability"
"1099","URB/REC - Camp Areas test (HI)","limitation"
"1100","WMS - Surface Irrigation, Level (TX)","limitation"
"1101","WMS - Micro-Irrigation, Above Ground (TX)","limitation"
"1102","WMS - Surface Irrigation, Graded (TX)","limitation"
"1103","WMS - Irrigation, General (TX) v1.0","limitation"
"1104","WMS - Sprinkler Irrigation (IN)","limitation"
"1105","URB/REC - Playgrounds test (HI)","limitation"
"1106","SRPG_5 - Main Rule","limitation"
"1107","CLS Major","limitation"
"1108","GRL-ESD (MT) Statewide Key","class"
"1109","hort peaches","limitation"
"1110","hort cole crops","limitation"
"1111","hort cucurbit crops","limitation"
"1112","hort peas","limitation"
"1113","hort beans","limitation"
"1114","hort sweet corn","limitation"
"1115","hort peppers","limitation"
"1116","hort tomatoes","limitation"
"1117","ENG - Cohesive Soil Liner (MN)","suitability"
"1118","WI AD Catastrophic Mortality, Large Animal Disposa","limitation"
"1119","ENG - Steel Corrosion (DRAFT - Testing only) Hallmark","limitation"
"1120","DHS - Contaminated Plant Material Isolation","limitation"
"1121","WMS - Surface Irrigation, Graded (AZ)","limitation"
"1122","hort cherries","limitation"
"1123","AGR - Farmland of Statewide Importance (TX)","suitability"
"1124","hort pears","limitation"
"1125","hort plums","limitation"
"1126","hort potatoes","limitation"
"1127","hort brambles","limitation"
"1128","WMS - Irrigation, General (TX)","limitation"
"1129","WMS - Sprinkler Irrigation (TX)","limitation"
"1130","WMS - Sprinkler Irrigation (Close spaced outlet-Drops) (TX)","limitation"
"1131","WMS - Surface Irrigation, Level (TX) v.1","limitation"
"1132","WMS - Surface Irrigation, Graded (TX) v.1","limitation"
"1133","WMS - Micro-Irrigation, Above Ground (TX) v.1","limitation"
"1134","WMS - Micro-Irrigation, Subsurface Drip (TX) v.1","limitation"
"1135","FOR - Potential Seedling Mortality (VT)","limitation"
"1136","BLM-Reclamation Suitability (MT)","limitation"
"1137","ENG - Local Roads and Streets (GIN 0-20)","limitation"
"1138","ENG - Local Roads and Streets (HI)","limitation"
"1139","URB/REC - Camp Areas (HI)PGN","limitation"
"1140","ENG - Sewage Lagoons (TN)","limitation"
"1141","Soil Vegetative Groups (CA)","class"
"1142","MO8-NPS FOR - Mechanical Site Preparation (Deep)","limitation"
"1143","MO8-NPS FOR - Potential Fire Damage Hazard","limitation"
"1144","VT Streambank Erosion Hazard 4 test","limitation"
"1145","ENG - Septic Tank Absorption Fields (TN)","limitation"
"1146","WMS - Irrigation, Surface (level)","limitation"
"1147","WMS - Irrigation, Surface (graded)","limitation"
"1148","WMS - Irrigation, Micro (above ground)","limitation"
"1149","WMS - Irrigation, Micro (subsurface drip)old","limitation"
"1150","WMS - Irrigation, Sprinkler (close spaced outlet drops)","limitation"
"1151","WMS - Irrigation, Sprinkler (general)","limitation"
"1152","WMS - Irrigation, General","limitation"
"1153","WMS - Irrigation (all application methods) (IL)","limitation"
"1154","WMS - Sprinkler Irrigation (IL)","limitation"
"1155","WMS - Drip or Trickle Irrigation (IL)","limitation"
"1156","MO18 TN - Septic Tank Absorption Fields","limitation"
"1157","ENG - Construction Materials; Roadfill (KY)","limitation"
"1158","ENG - Unpaved Local Roads and Streets","limitation"
"1159","FOR - Potential Windthrow Hazard (Smoky's)","limitation"
"1160","FOR - 2Potential Windthrow Hazard (Smoky's)","limitation"
"1161","ENG - Sewage Lagoons (PIA)","limitation"
"1162","ENG - Construction Materials; Topsoil (PIA)","suitability"
"1163","URB/REC - Lawn, Landscape, Golf Fairway (PIA)","limitation"
"1164","ENG - Local Roads and Streets (PIA)","limitation"
"1165","URB/REC - Camp Areas (PIA)","limitation"
"1166","URB/REC - Paths and Trails (PIA)","limitation"
"1167","URB/REC - Picnic Areas (PIA)","limitation"
"1168","URB/REC - Playgrounds (PIA)","limitation"
"1169","ENG - Construction Materials; Roadfill (PIA)","suitability"
"1170","FOR - Potential Seedling Mortality (PIA)","limitation"
"1171","ENG - Dwellings W/O Basements (PIA)","limitation"
"1172","ENG - Small Commercial Buildings (PIA)","limitation"
"1173","ENG - Shallow Excavations (PIA)","limitation"
"1174","FOR - Road Suitability (Natural Surface) (PIA)","limitation"
"1175","FOR - Potential Erosion Hazard (Road/Trail) (PIA)","limitation"
"1176","BLM - Soil Compaction Resistance","suitability"
"1177","BLM - Yellow Star-thistle Invasion Susceptibility","limitation"
"1178","MDE Test AWM2 - Land App of Municipal Sewage Sludge (MD)","limitation"
"1179","MDE Test Current COMAR - Land App of Municipal Sewage Sludge","limitation"
"1180","FOR - General Harvest Season (VT)","class"
"1181","GRL-FSG-IAv5_X","class"
"1182","CLS - Truman Lake Area Absorption Fields old","suitability"
"1183","CLS - Truman Lake Area Lagoons old","suitability"
"1184","ENG - Aquifer Assessment - 7081 (MN)","limitation"
"1185","Alleg Small Commercial Buildings","limitation"
"1186","WMS - Subsurface Drains > 3 Feet Deep (TX)","limitation"
"1187","ENG - On-Site Waste Water Absorption Fields (MO)","suitability"
"1188","ENG - On-Site Waste Water Lagoons (MO)","suitability"
"1189","WMS - Irrigation, Micro (above ground) (VT)","limitation"
"1190","Alleg Dwellings W/O Basements","limitation"
"1191","Alleg Dwellings With Basements","limitation"
"1192","AGR - Conventional Tillage (NE)","suitability"
"1193","AGR - No Till (NE)","suitability"
"1194","AGR - Mulch Till (NE)","suitability"
"1195","Potential Windthrow Hazard (TN)","limitation"
"1196","NJ - Forest Soils Grp Main","limitation"
"1197","AGR - Phosphorus Fixation Ability test (VT)","limitation"
"1198","AWM - Irrigation Disposal of Wastewater","limitation"
"1199","FSG-TX011 Clayey, 0-12%, 3-9 AWC, Neutral to Acid pH","class"
"1200","FSG-TX012 Clayey, 0-12%, 3-9 AWC, Alkaline pH","class"
"1201","FOR - Soil Rutting Hazard (VT)","limitation"
"1202","FSG-TX013 Clayey, 12-20%, 3-9 AWC, Neutral to Acid pH","class"
"1203","FSG-TX014 Clayey, 12-20%, 3-9 AWC, Alkaline pH","class"
"1204","AWM - Sensitive Soil Features (MN)","limitation"
"1205","AGR - Forage Suitability Grouping - (MLRA 133B) (TX)","limitation"
"1206","FSG-TX021 Loamy, 0-5%, 6-9 AWC, Very Deep, Acid (TX)","class"
"1207","FSG-TX022 Loamy, 0-5%, 6-9 AWC, Very Deep, Acid to Neutral","class"
"1208","FSG-TX023 Loamy, 0-20%, 3-9 AWC, Deep, Acid (TX)","class"
"1209","FSG-TX024 Loamy, 0-20%, 3-9 AWC, Deep, Neutral (TX)","class"
"1210","FSG-TX025 Loamy, 0-20%, 3-9 AWC, Deep, Alkaline (TX)","class"
"1211","FSG-TX026 Loamy, 5-20%, 3-9 AWC, Mod. Deep, Neutral (TX)","class"
"1212","FSG-TX027 Loamy, 5-20%, 3-9 AWC, Mod. Deep, Alkaline (TX)","class"
"1213","FSG-TX028 Loamy, 5-20%, 3-9 AWC, Mod. Deep, Acid (TX)","class"
"1214","FSG-TX029 Loamy, 5-20%, < 3 AWC, Mod. Deep, (TX)","class"
"1215","ENG - Construction Materials; Gravel Source (ID)","suitability"
"1216","ENG - Construction Materials; Gravel Source (OR)","suitability"
"1217","ENG - Construction Materials; Gravel Source (WA)","suitability"
"1218","ENG - Construction Materials; Sand Source (ID)","suitability"
"1219","ENG - Construction Materials; Sand Source (OR)","suitability"
"1220","ENG - Construction Materials; Sand Source (WA)","suitability"
"1221","ENG - Construction Materials; Topsoil (ID)","suitability"
"1222","ENG - Construction Materials; Topsoil (OR)","suitability"
"1223","ENG - Construction Materials; Topsoil (WA)","suitability"
"1224","FSG-TX031 Sandy, 0-12%, 3-9 AWC, Deep, Acid (TX)","class"
"1225","FSG-TX032 Sandy, 0-12%, 3-9 AWC, Deep, Neutral (TX)","class"
"1226","FSG-TX034 Sandy, 0-12%, < 3 AWC, Deep, Neutral (TX)","class"
"1227","FSG-TX033 Sandy, 0-12%, < 3 AWC, Deep, Acid (TX)","class"
"1228","FSG-TX035 Sandy, 0-12%, < 6 AWC, Mod. Deep, Acid (TX)","class"
"1229","FSG-TX036 Sandy, 0-12%, < 6 AWC, Mod. Deep, Neutral (TX)","class"
"1230","FSG-TX037 Sandy, 12-20%, < 6 AWC, Deep, Acid (TX)","class"
"1231","FSG-TX038 Sandy, 12-20%, < 6 AWC, Deep, Neutral (TX)","class"
"1232","ENG - NC Septic Tank Absorption Fields","limitation"
"1233","Compaction Resistance (test) (VT)","limitation"
"1234","AGR - No Till (old) (VT)","suitability"
"1235","Septic System In Ground Trench (conventional) (WV)","limitation"
"1236","FOR - Aspen Productivity (MN) 1.0","suitability"
"1237","CLASS RULE - Depth to lithic bedrock (5 classes) (NPS)","class"
"1238","CLASS RULE - Depth to non-lithic bedrock (5 classes) (NPS)","class"
"1239","Septic System Shallow In Ground Trench (conventional) (WV)","limitation"
"1240","Septic System Dual Field Trench (conventional) (WV)","limitation"
"1241","FOR - Aspen Productivity (MN) 1.1","suitability"
"1242","FSG-TX041 WET Sandy/Loamy, 0-5%, 3-9 AWC, Very Deep, Acid","class"
"1243","FSG-TX042 WET Sandy/Loamy, 0-5%, V. Deep, Acid-Neutral","class"
"1244","FSG-TX043 WET Sandy/Loamy, 0-12%, Deep, SwP, Acid","class"
"1245","FSG-TX044 WET Sandy/Loamy, 0-12%, Deep, SwP, Acid-Neutral","class"
"1246","FSG-TX045 WET Sandy/Loamy, 0-12%, Deep, MW/W, Acid-Neutral","class"
"1247","FSG-TX048 WET Sandy/Loamy, 0-12%, Deep, Poorly Drained, Acid","class"
"1248","FSG-TX049 WET Sandy/Loamy, 0-12%, Deep, VP&P Drain, Neutral","class"
"1249","FSG-TX046 WET Sandy/Loamy, 0-12%, Mod. Deep, Mw/W, Acid","class"
"1250","FSG-TX047 WET Sandy/Loamy, 0-12%, Mod. Deep, Mw/W, Neutral","class"
"1251","FSG-TX051 WET Clayey, 0-5%, 3-9 AWC, MW/W Drained, Neutral","class"
"1252","FSG-TX052 WET Clayey, 0-5%, 3-9 AWC, SwP Drained, Neutral","class"
"1253","FSG-TX053 WET Clayey, 5-12%, 3-9 AWC, SwP Drained, Neutral","class"
"1254","FSG-TX061 Gravelly/Stony, 0-12%, < 9 AWC, Deep, Neutral (TX)","class"
"1255","FSG-TX062 Gravelly/Stony, 12-20%, <6 AWC, Mod. Deep, Neutral","class"
"1256","FSG-TX071 Bottomlands","class"
"1257","RSK-risk assessment for manure application (OH)","limitation"
"1258","MDE Test AWM1a - Land App of Municipal Sewage Sludge (MD)","limitation"
"1259","MDE Test AWM1b - Land App of Municipal Sewage Sludge (MD)","limitation"
"1260","FOR - Aspen Productivity (MN) 1.1 test","suitability"
"1261","FOR - Aspen Productivity (MN) 1.0 test","suitability"
"1262","Cecil AWM - Overland Flow Process Treatment of Wastewater","limitation"
"1263","Cecil AWM - Rapid Infiltration Disposal of Wastewater","limitation"
"1264","Cecil AWM - Slow Rate Process Treatment of Wastewater","limitation"
"1265","AWM - Land Application of Municipal Biosolids, summer (OR)","limitation"
"1266","REC - Paths and Trails test (12)","limitation"
"1267","AWM - Land Application of Municipal Biosolids, spring (OR)","limitation"
"1268","AWM - Land Application of Municipal Biosolids, winter (OR)","limitation"
"1269","FSG MLRA86A-Forage Production Potential MLRA 86A (TX)","suitability"
"1270","Septic System Low Pressure Pipe (alternative) (WV)","limitation"
"1271","NCCPI - Irrigated National Commodity Crop Productivity Index","suitability"
"1272","NCCPI - Irrigated Corn Submodel","suitability"
"1273","NCCPI - Irrigated Cotton Submodel","suitability"
"1274","NCCPI - Irrigated Small Grains Submodel","suitability"
"1275","CLASS RULE - Depth to any bedrock kind (5 classes) (NPS)","class"
"1276","CLASS RULE - Depth to root limiting layer (5 classes) (NPS)","class"
"1277","FOR - Hand Planting Suitability (12)","limitation"
"1278","FOR - Hand Planting Suitability (rev)","limitation"
"1279","FOR - Mechanical Planting Suitability (rev)","limitation"
"1280","FOR - Mechanical Site Preparation (Deep)(rev)","limitation"
"1281","FOR - Mechanical Site Preparation (Surface)(rev)","limitation"
"1282","FOR - Potential Erosion Hazard (Off-Road/Off-Trail)(rev)","limitation"
"1283","FOR - Harvest Equipment Operability (12_1)","limitation"
"1284","ENG - Septic Tank (PIA)","limitation"
"1285","URB/REC - Camp Areas (HI)","limitation"
"1286","MIL - Bivouac Areas (DOD)","limitation"
"1287","MIL - Excavations Crew-Served Weapon Fighting Position (DOD)","limitation"
"1288","MIL - Excavations for Individual Fighting Position (DOD)","limitation"
"1289","MIL - Excavations for Vehicle Fighting Position (DOD)","limitation"
"1290","MIL - Helicopter Landing Zones (DOD)","limitation"
"1291","MIL - Trafficability Veh. Type 1 1-pass wet season (DOD)","suitability"
"1292","MIL - Trafficability Veh. Type 1 50-passes wet season (DOD)","suitability"
"1293","MIL - Trafficability Veh. Type 1 dry season (DOD)","suitability"
"1294","MIL - Trafficability Veh. Type 2 1-pass wet season (DOD)","suitability"
"1295","MIL - Trafficability Veh. Type 2 50-passes wet season (DOD)","suitability"
"1296","MIL - Trafficability Veh. Type 2 dry season (DOD)","suitability"
"1297","MIL - Trafficability Veh. Type 3 1-pass wet season (DOD)","suitability"
"1298","MIL - Trafficability Veh. Type 3 50-passes wet season (DOD)","suitability"
"1299","MIL - Trafficability Veh. Type 3 dry season (DOD)","suitability"
"1300","MIL - Trafficability Veh. Type 4 1-pass wet season (DOD)","suitability"
"1301","MIL - Trafficability Veh. Type 4 50-passes wet season (DOD)","suitability"
"1302","MIL - Trafficability Veh. Type 4 dry season (DOD)","suitability"
"1303","MIL - Trafficability Veh. Type 5 1-pass wet season (DOD)","suitability"
"1304","MIL - Trafficability Veh. Type 5 50-passes wet season (DOD)","suitability"
"1305","MIL - Trafficability Veh. Type 5 dry season (DOD)","suitability"
"1306","MIL - Trafficability Veh. Type 6 1-pass wet season (DOD)","suitability"
"1307","MIL - Trafficability Veh. Type 6 50-passes wet season (DOD)","suitability"
"1308","MIL - Trafficability Veh. Type 6 dry season (DOD)","suitability"
"1309","MIL - Trafficability Veh. Type 7 1-pass wet season (DOD)","suitability"
"1310","MIL - Trafficability Veh. Type 7 50-passes wet season (DOD)","suitability"
"1311","MIL - Trafficability Veh. Type 7 dry season (DOD)","suitability"
"1312","AWM - Manure and Food Processing Waste (MD)","limitation"
"1313","FSG MLRA86A-Forage Production Reductions MLRA 86A v.2 (TX)","suitability"
"1314","FSG MLRA86A-Forage Production Potential MLRA 86A v.2 (TX)","suitability"
"1315","CPI - Small Grains, NIRR - Palouse Prairies (ID)","suitability"
"1316","FSG MLRA86A-Forage Suitability Grouping (TX)","limitation"
"1317","FSG MLRA86A-Forage Production Potential MLRA 86A v.2a (TX)","suitability"
"1318","HORT - Viticulture","suitability"
"1319","AGR-SHSI Soil Health Sustainability Index (MT)","class"
"1320","AGR - Air Quality; PM10 (TX)","limitation"
"1321","Septic System Drip Irrigation (alternative) (WV)","limitation"
"1322","Septic System Mound (alternative) (WV)","limitation"
"1323","Septic System Elevated Field (alternative) (WV)","limitation"
"1324","Septic System At Grade Shallow Field (alternative) (WV)","limitation"
"1325","WMS - Sprinkler Irrigation (IL) RDC","limitation"
"1326","AGR - Air Quality; PM2_5 (TX)","limitation"
"1327","AGR - Index for alfalfa hay, irrigated (NV)","suitability"
"1328","FOR - Harvest Equipment Operability (12)","limitation"
"1329","FOR-Construction Limitations for Haul Roads/Log Landings(12)","limitation"
"1330","FOR-Biomass Harvest (WI)","limitation"
"1331","FOR-Construction Limitations for Haul Roads/Log Landings12","limitation"
"1332","WMS - Surface Drains (TX)","limitation"
"1333","ENG - Infiltration systems (NY)","limitation"
"1334","NE - FSG All Groups - draft2","limitation"
"1335","NEIRT - FSG2 - Group 1-NS-AB","limitation"
"1336","NEIRT - FSG2 - Group 1-NS-CD","limitation"
"1337","NEIRT - FSG2 - Group 1-ST-AB","limitation"
"1338","NEIRT - FSG2 - Group 1-ST-CD","limitation"
"1339","NEIRT - FSG2 - Group 2-NS-AB","limitation"
"1340","NEIRT - FSG2 - Group 2-NS-CD","limitation"
"1341","NEIRT - FSG2 - Group 2-ST-AB","limitation"
"1342","NEIRT - FSG2 - Group 2-ST-CD","limitation"
"1343","NEIRT - FSG2 - Group 3-NS-AB","limitation"
"1344","NEIRT - FSG2 - Group 3-NS-CD","limitation"
"1345","NEIRT - FSG2 - Group 3-ST-AB","limitation"
"1346","NEIRT - FSG2 - Group 3-ST-CD","limitation"
"1347","NEIRT - FSG2 - Group 4-NS-AB","limitation"
"1348","NEIRT - FSG2 - Group 4-NS-CD","limitation"
"1349","NEIRT - FSG2 - Group 4-ST-AB","limitation"
"1350","NEIRT - FSG2 - Group 4-ST-CD","limitation"
"1351","NEIRT - FSG2 - Group 5-NS-AB","limitation"
"1352","NEIRT - FSG2 - Group 5-NS-CD","limitation"
"1353","NEIRT - FSG2 - Group 5-ST-AB","limitation"
"1354","NEIRT - FSG2 - Group 5-ST-CD","limitation"
"1355","NEIRT - FSG2 - Group 6-NR1-VPD","limitation"
"1356","NEIRT - FSG2 - Group 6-NR2-ED","limitation"
"1357","NEIRT - FSG2 - Group 6-NR3-E slopes","limitation"
"1358","WMS - Surface Irrigation Intake Family (TX)","class"
"1359","URB/REC - Equestrian Trails (NPS)","limitation"
"1360","WMS - Sprinkler Irrigation Intake Group (TX)","class"
"1361","CA Prime Farmland (CA)","limitation"
"1362","ENG - Septic Tank Absorption Fields (TX)","limitation"
"1363","ENG - On-Site Waste Water Absorption Fields (TX)","suitability"
"1364","ENG - On-Site Waste Water Lagoons (TX)","suitability"
"1365","ENG - Shallow Excavations to 24"" (TX)","limitation"
"1366","ENG - Shallow Excavations to 36"" (TX)","limitation"
"1367","WMS - Constructing Terraces (TX)","limitation"
"1368","WMS - Ponds Reservoirs; Dams (TX)","limitation"
"1369","WMS - Pond Reservoir Area (TX)","limitation"
"1370","WMS - Excavated Ponds (Aquifer-fed) (TX)","limitation"
"1371","WMS - Embankments, Dikes, and Levees (TX)","limitation"
"1372","WMS - Embankments (TX)","limitation"
"1373","WMS - Dikes (TX)","limitation"
"1374","WMS - Levees (TX)","limitation"
"1375","ENG - Shallow Excavations (12)","limitation"
"1376","WMS - Ponds Reservoirs; Pit - Surface Supplied (TX)","limitation"
"1377","ENG - Asphalt with Road Base","limitation"
"1378","URB - Dwellings With Basements (TX)","limitation"
"1379","URB - Dwellings on Concrete Slab (TX)","limitation"
"1380","DHS - Potential for Radioactive Sequestration,suit","suitability"
"1381","Septic System Steep Slope Mound (alternative) (WV)","limitation"
"1382","AGR - Irrigated Cropland Erosion Control (TX)","limitation"
"1383","AGR - Rangeland Erosion Control (TX)","limitation"
"1384","AGR - Pastureland Erosion Control (TX)","limitation"
"1385","AGR - Woodland Erosion Control (TX)","limitation"
"1386","ENG - Urban Construction Materials; Gravel Source (TX)","suitability"
"1387","Black Walnut and Black Cherry","limitation"
"1388","FOR - Log Landing Suitability (12)","limitation"
"1389","FOR - Road Suitability (Natural Surface) (12)","limitation"
"1390","WLF - Desertic Herbaceous Plants (TX)","limitation"
"1391","WLF - Upland Desertic Shrubs & Trees (TX)","limitation"
"1392","WLF - Upland Shrubs & Vines (TX)","limitation"
"1393","WLF - Upland Native Herbaceous Plants (TX)","limitation"
"1394","WMS - Subsurface Drains < 3 Feet Deep (TX)","limitation"
"1395","HYDS-HYDRIC SOILS LIST MO1","limitation"
"1396","ENG - Septic Tank Absorption Fields Secondary Effluent (TX)","limitation"
"1397","ENG - Septic Tank Leaching Chamber (TX)","limitation"
"1398","ENG - Septic Tank Leaching Chamber Secondary Effluent (TX)","limitation"
"1399","AWM - Large Animal Disposal, Pit (MN)","limitation"
"1400","BLM - Fugitive Dust Resistance","suitability"
"1401","WMS - Irrigation, Micro (subsurface drip) (VT)","limitation"
"1402","WMS - Irrigation, Sprinkler (general) (VT)","limitation"
"1403","GRL-SHSI Soil Health Sustainability Index (MT)","class"
"1404","AWM - Animal Mortality Disposal (Catastrophic) (MO)","limitation"
"1405","ENG - Septic Tank Drip Irrigation (TX)","limitation"
"1406","ENG - Septic Tank, Subsurface Drip Irrigation (TX)","limitation"
"1407","CT - Bone Preservation in Soil","suitability"
"1408","WMS - Subsurface Drains > 3 Feet Deep (IA)","limitation"
"1409","ENG - Stormwater Management / Ponds (NY)","limitation"
"1410","ENG - Septic Tank Low-Pressure (TX)","limitation"
"1411","ENG - Septic Tank Low-Pressure Secondary Effluent (TX)","limitation"
"1412","ENG - Septic Tank Mounds (TX)","limitation"
"1413","ENG - Septic Tank Mounds Secondary Effluent (TX)","limitation"
"1414","ENG - Stormwater Management / Wetlands (NY)","limitation"
"1415","ENG - Stormwater Management / Infiltration (NY)","limitation"
"1416","GPR STATSGO - Ground Penetrating Radar Penetration","limitation"
"1417","GPR SSURGO - Ground Penetrating Radar Penetration (old)","limitation"
"1418","AGR - No Till (VT)","suitability"
"1419","GRL - NV range seeding (Wind C = 10) (NV)","suitability"
"1420","GRL - NV range seeding (Wind C = 20) (NV)","suitability"
"1421","GRL - NV range seeding (Wind C >= 160) (NV)","suitability"
"1422","GRL - NV range seeding (Wind C = 30) (NV)","suitability"
"1423","GRL - NV range seeding (Wind C = 40) (NV)","suitability"
"1424","GRL - NV range seeding (Wind C = 50) (NV)","suitability"
"1425","GRL - NV range seeding (Wind C = 60) (NV)","suitability"
"1426","GRL - NV range seeding (Wind C = 80) (NV)","suitability"
"1427","GRL - NV range seeding (Wind C = 100) (NV)","suitability"
"1428","WMS - Subsurface Drains (TX)","limitation"
"1429","WMS - Subsurface Drains - Installation (VT)","limitation"
"1430","WMS - Subsurface Drains - Performance (VT)","limitation"
"1431","URB - Concrete Driveways and Sidewalks (TX)","limitation"
"1432","URB - Reinforced Concrete Slab (TX)","limitation"
"1433","NBPI - NBPI Biomass Productivity Index (Lowland Switchgrass)","suitability"
"1434","FOR - Plant Competition","limitation"
